name,init,mult,size_x,size_y,run_nr,time
TrueTrue256512,True,True,256,512,6,72.4
FalseTrue128512,False,True,128,512,11,72.17
FalseTrue1024256,False,True,1024,256,5,70.68
TrueTrue512512,True,True,512,512,2,72.33
FalseTrue51264,False,True,512,64,5,72.22
TrueFalse12864,True,False,128,64,1,72.17
TrueTrue10241024,True,True,1024,1024,7,72.21
TrueTrue128512,True,True,128,512,6,71.53
TrueFalse1024128,True,False,1024,128,6,71.51
FalseTrue512128,False,True,512,128,7,72.21
TrueFalse128512,True,False,128,512,5,72.74
TrueFalse3216,True,False,32,16,5,72.07
FalseTrue1024128,False,True,1024,128,2,72.51
TrueFalse5121024,True,False,512,1024,9,72.5
TrueTrue1281024,True,True,128,1024,11,71.64
TrueFalse128512,True,False,128,512,8,71.71
TrueFalse12864,True,False,128,64,11,71.68
TrueTrue1616,True,True,16,16,8,73.43
TrueTrue128128,True,True,128,128,2,72.2
TrueFalse2561024,True,False,256,1024,7,72.43
TrueFalse64512,True,False,64,512,8,71.52
FalseTrue1024128,False,True,1024,128,7,71.55
TrueTrue1024256,True,True,1024,256,11,71.45
