Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     35.19     0.00        1     0.00     0.00  stack_init

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.03% of 35.19 seconds

index % time    self  children    called     name
[1]     99.5   30.53    4.48       6+306946324 <cycle 1 as a whole> [1]
               28.79    4.43       1             luaV_execute <cycle 1> [2]
                1.74    0.02 306946270             luaD_precall <cycle 1> [10]
                0.00    0.02       9             luaD_rawrunprotected <cycle 1> [29]
                0.00    0.01       1             pmain <cycle 1> [46]
                0.00    0.00      10             luaL_requiref <cycle 1> [81]
                0.00    0.00       1             luaL_openlibs <cycle 1> [88]
                0.00    0.00       1             luaD_protectedparser <cycle 1> [154]
                0.00    0.00       1             luaL_loadfilex <cycle 1> [169]
                0.00    0.00       1             docall <cycle 1> [182]
                0.00    0.00      16             luaD_callnoyield <cycle 1> [221]
                0.00    0.00      10             lua_callk <cycle 1> [236]
                0.00    0.00       7             luaD_pcall <cycle 1> [245]
                0.00    0.00       1             lua_pcallk <cycle 1> [290]
                0.00    0.00       1             lua_load <cycle 1> [289]
-----------------------------------------------
                                   1             luaD_callnoyield <cycle 1> [221]
[2]     94.4   28.79    4.43       1         luaV_execute <cycle 1> [2]
                3.06    0.00 310000031/310000031     luaD_pretailcall [9]
                0.52    0.00 271946179/271946189     luaH_getshortstr [11]
                0.00    0.39  142858/142866      luaC_step [12]
                0.21    0.00 35000103/35000103     luaT_getvarargs [14]
                0.06    0.05 10000001/10000001     luaF_findupval [16]
                0.08    0.00 25000004/25000004     luaV_tointeger [19]
                0.00    0.05 10000005/10000006     luaF_newLclosure [25]
                0.03    0.00 10000001/10000002     luaF_closeupval [27]
                0.01    0.00       4/4           luaT_adjustvarargs [55]
                0.00    0.00       6/203         luaV_finishset [52]
                0.00    0.00      29/29          luaG_traceexec [212]
                0.00    0.00       4/31          luaD_poscall [211]
                             306946254             luaD_precall <cycle 1> [10]
-----------------------------------------------
                                                 <spontaneous>
[3]     83.0    0.00   29.19                 close_state [3]
                0.00   23.36       1/1           luaC_freeallobjects [4]
                0.00    5.83       1/1           luaD_closeprotected [8]
                0.00    0.00       1/1           luaE_freeCI [130]
                0.00    0.00       2/20000430     luaM_free_ [20]
-----------------------------------------------
                0.00   23.36       1/1           close_state [3]
[4]     66.4    0.00   23.36       1         luaC_freeallobjects [4]
                0.00   23.34       4/4           GCTM [5]
                0.02    0.00       1/1           enterinc [28]
                0.00    0.00     296/20000290     freeobj [15]
                0.00    0.00     296/20000430     luaM_free_ [20]
                0.00    0.00       6/6           luaF_freeproto [127]
                0.00    0.00      20/21          luaH_free [128]
                0.00    0.00       1/142861      separatetobefnz [42]
-----------------------------------------------
                0.00   23.34       4/4           luaC_freeallobjects [4]
